ID,Name,Description,Contributor,Citation,Examples_Count
glossa4817,Velar palatalization in Chilean public speech,,"Flores, Tanya L.","Flores, Tanya L. 2016. Velar palatalization in Chilean public speech. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.105. Open Library of Humanities.",0
glossa4818,Modeling of problems of projection: A non-countercyclic approach,,"Ginsburg, Jason","Ginsburg, Jason. 2016. Modeling of problems of projection: A non-countercyclic approach. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.22. Open Library of Humanities.",0
glossa4819,Subject-object asymmetries in Persian argument ellipsis and the anti-agreement theory,,"Sato, Yosuke and Karimi, Simin","Sato, Yosuke & Simin Karimi. 2016. Subject-object asymmetries in Persian argument ellipsis and the anti-agreement theory. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.60. Open Library of Humanities.",85
glossa4820,A precedence-free approach to (de-)palatalisation in Japanese,,"Nasukawa, Kuniya","Nasukawa, Kuniya. 2016. A precedence-free approach to (de-)palatalisation in Japanese. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.26. Open Library of Humanities.",0
glossa4822,Wide-focus subject-verb inversion in Ibero-Romance: A locative account,,"Corr, Alice","Corr, Alice. 2016. Wide-focus subject-verb inversion in Ibero-Romance: A locative account. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.85. Open Library of Humanities.",78
glossa4824,Transderivational relations and paradigm gaps in Russian verbs,,"Pertsova, Katya","Pertsova, Katya. YYYY. Transderivational relations and paradigm gaps in Russian verbs. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.59. Open Library of Humanities.",1
glossa4826,"Degree quantifiers, bare quantifiers and intensifiers in the midfield: A new look at quantification at a distance",,"Authier, J.-Marc","Authier, J.-Marc. 2016. Degree quantifiers, bare quantifiers and intensifiers in the midfield: A new look at quantification at a distance. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.45. Open Library of Humanities.",197
glossa4827,Two ways of encoding location in Greek: Locative applicatives and prepositions,,"Daskalaki, Evangelia and Mavrogiorgos, Marios","Daskalaki, Evangelia & Marios Mavrogiorgos. 2016. Two ways of encoding location in Greek: Locative applicatives and prepositions. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.74. Open Library of Humanities.",116
glossa4828,Agreement and the structure of relative clauses,,"Arsenijević, Boban and Gračanin-Yuksek, Martina","Arsenijević, Boban & Martina Gračanin-Yuksek. 2016. Agreement and the structure of relative clauses. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.12. Open Library of Humanities.",26
glossa4829,"Anticausatives are weak scalar expressions, not reflexive expressions",,"Schäfer, Florian and Vivanco, Margot","Schäfer, Florian & Margot Vivanco. 2016. Anticausatives are weak scalar expressions, not reflexive expressions. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.36. Open Library of Humanities.",118
glossa4830,Inter- and intra-speaker variation in French schwa,,"Bayles, Andrew and Kaplan, Aaron and Kaplan, Abby","Bayles, Andrew, Aaron Kaplan & Abby Kaplan. 2016. Inter- and intra-speaker variation in French schwa. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.54. Open Library of Humanities.",0
glossa4831,How allomorphic is English article allomorphy?,,"Pak, Marjorie","Pak, Marjorie. 2016. How allomorphic is English article allomorphy?. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.62. Open Library of Humanities.",0
glossa4834,Vocoid-driven processes: Palatalization and glide hardening in Greek and its dialects,,"Baltazani, Mary and Kainada, Evia and Revithiadou, Anthi and Topintzi, Nina","Baltazani, Mary, Evia Kainada, Anthi Revithiadou & Nina Topintzi. 2016. Vocoid-driven processes: Palatalization and glide hardening in Greek and its dialects. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.108. Open Library of Humanities.",0
glossa4835,Velar palatalization in Slovenian: Local and long-distance interactions in a derived environment effect,,"Jurgec, Peter","Jurgec, Peter. 2016. Velar palatalization in Slovenian: Local and long-distance interactions in a derived environment effect. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.129. Open Library of Humanities.",10
glossa4849,Review article of Waltraud Paul’s New Perspectives on Chinese Syntax (2015),,"Li, Yen-hui Audrey","Li, Yen-hui Audrey. 2016. Review article of Waltraud Paul’s New Perspectives on Chinese Syntax (2015). Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.233. Open Library of Humanities.",37
glossa4853,Book review of Yoad Winter’s Elements of formal semantics (2016),,"Rett, Jessica","Rett, Jessica. 2016. Book review of Yoad Winter’s Elements of formal semantics (2016). Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.231. Open Library of Humanities.",0
glossa4856,Two Negations for the Price of One,,"Thornton, Rosalind and Notley, Anna and Moscati, Vincenzo and Crain, Stephen","Thornton, Rosalind, Anna Notley, Vincenzo Moscati & Stephen Crain. 2016. Two Negations for the Price of One. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.4. Open Library of Humanities.",1
glossa4857,Language as an instrument of thought,,"Asoulin, Eran","Asoulin, Eran. 2016. Language as an instrument of thought. Glossa: a journal of general linguistics 1(1). doi: 10.5334/gjgl.34. Open Library of Humanities.",0
glossa4864,When you isn’t you: The attraction of self-ascription in children’s interpretation of pronouns in reported speech,,"Köder, Franziska and Maier, Emar","Köder, Franziska & Emar Maier. 2017. When you isn’t you: The attraction of self-ascription in children’s interpretation of pronouns in reported speech. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.187. Open Library of Humanities.",2
glossa4865,Noun complement clauses as referential modifiers,,"de Cuba, Carlos","Cuba, Carlos de. 2017. Noun complement clauses as referential modifiers. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.53. Open Library of Humanities.",78
glossa4867,Partitive descriptions in Korean,,"Shin, Keun Young","Shin, Keun Young. 2017. Partitive descriptions in Korean. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.143. Open Library of Humanities.",70
glossa4868,Confronting perspectives: Modeling perspectival complexity in language and cognition,,"Zeman, Sonja","Zeman, Sonja. 2017. Confronting perspectives: Modeling perspectival complexity in language and cognition. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.213. Open Library of Humanities.",1
glossa4871,The comprehension of Italian relative clauses in poor readers and in children with Specific Language Impairment,,"Arosio, Fabrizio and Panzeri, Francesca and Molteni, Bruna and Magazù, Santina and Guasti, Maria Teresa","Arosio, Fabrizio, Francesca Panzeri, Bruna Molteni, Santina Magazù & Maria Teresa Guasti. 2017. The comprehension of Italian relative clauses in poor readers and in children with Specific Language Impairment. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.107. Open Library of Humanities.",8
glossa4874,Suspended morphology in Serbian: clitics vs. affixes,,"Despić, Miloje","Despić, Miloje. 2017. Suspended morphology in Serbian: clitics vs. affixes. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.130. Open Library of Humanities.",87
glossa4877,Distributionally constrained items in child language: the acquisition of superweak NPI shenme ‘a/some’ in Mandarin Chinese,,"Lin, Jing","Lin, Jing. 2017. Distributionally constrained items in child language: the acquisition of superweak NPI shenme ‘a/some’ in Mandarin Chinese. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.173. Open Library of Humanities.",13
glossa4921,Reduplication in Russian verbs and adjectives: motivating form with morphosyntactic constraints,,"Enguehard, Guillaume","Enguehard, Guillaume. 2017. Reduplication in Russian verbs and adjectives: motivating form with morphosyntactic constraints. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.242. Open Library of Humanities.",0
glossa4932,Looking forwards and backwards: The real-time processing of Strong and Weak Crossover,,"Kush, Dave and Lidz, Jeffrey and Phillips, Colin","Kush, Dave, Jeffrey Lidz & Colin Phillips. 2017. Looking forwards and backwards: The real-time processing of Strong and Weak Crossover. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.280. Open Library of Humanities.",0
glossa4952,Seeking control in Modern Standard Arabic,,"Arad Greshler, Tali and Melnik, Nurit and Wintner, Shuly","Arad Greshler, Tali, Nurit Melnik & Shuly Wintner. 2017. Seeking control in Modern Standard Arabic. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.295. Open Library of Humanities.",73
glossa4953,Universal quantifier PPIs,,"Zeijlstra, Hedde","Zeijlstra, Hedde. 2017. Universal quantifier PPIs. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.220. Open Library of Humanities.",32
glossa4956,"Control, temporal orientation, and the cross-linguistic grammar of trying",,"Grano, Thomas","Grano, Thomas. 2017. Control, temporal orientation, and the cross-linguistic grammar of trying. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.335. Open Library of Humanities.",17
glossa4958,2 + 2 = 3: Number contrasts in Blackfoot,,"Kim, Kyumin and Ritter, Elizabeth and Wiltschko, Martina and Rullmann, Hotze","Kim, Kyumin, Elizabeth Ritter, Martina Wiltschko & Hotze Rullmann. 2017. 2 + 2 = 3: Number contrasts in Blackfoot. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.289. Open Library of Humanities.",16
glossa4961,Branchingness constraints on heads and dependents in Munster Irish stress,,"Torres-Tamarit, Francesc and Hermans, Ben","Torres-Tamarit, Francesc & Ben Hermans. 2017. Branchingness constraints on heads and dependents in Munster Irish stress. Glossa: a journal of general linguistics 2(1). doi: 10.5334/gjgl.464. Open Library of Humanities.",0
